Timestep,Attention,Engagement,Stress,Time,Starttime
10,39,73,30,1730355097,1730355087
20,39,75,37,1730355107,
30,43,72,33,1730355117,
40,50,71,56,1730355127,
50,47,72,46,1730355137,
60,45,72,54,1730355147,
70,40,74,51,1730355157,
80,41,70,35,1730355167,
90,46,75,47,1730355177,
100,42,76,84,1730355187,
110,43,73,58,1730355197,
120,48,73,42,1730355207,
130,42,73,42,1730355217,
140,46,76,42,1730355227,
150,48,79,43,1730355237,
160,47,74,44,1730355247,
170,56,67,30,1730355257,
180,59,70,85,1730355267,
190,46,71,71,1730355277,
200,41,66,64,1730355287,
210,40,66,75,1730355297,
220,32,70,43,1730355307,
230,35,72,32,1730355317,
240,29,71,34,1730355327,
250,27,69,36,1730355337,
260,28,66,28,1730355347,
270,23,68,27,1730355357,
280,21,63,27,1730355367,
290,22,62,28,1730355377,
300,23,67,31,1730355387,
310,37,46,30,1730355397,
320,33,51,30,1730355407,
330,26,62,30,1730355417,
340,26,62,31,1730355427,
350,26,61,31,1730355437,
360,30,62,29,1730355447,
370,28,60,30,1730355457,
380,28,64,30,1730355467,
390,32,63,30,1730355477,
400,32,56,29,1730355487,
410,30,56,31,1730355497,
420,31,61,33,1730355507,
430,31,67,32,1730355517,
440,38,71,40,1730355527,
450,37,72,44,1730355537,
460,34,71,34,1730355547,
470,64,68,38,1730355557,
480,29,64,34,1730355567,
490,30,69,32,1730355577,
500,29,63,37,1730355587,
510,29,65,33,1730355597,
520,37,55,35,1730355607,
530,32,62,34,1730355617,
540,30,67,35,1730355627,
550,33,58,35,1730355637,
560,30,67,35,1730355647,
570,37,61,35,1730355657,
580,34,65,34,1730355667,
590,34,60,34,1730355677,
600,34,42,37,1730355687,
610,31,31,36,1730355697,
620,31,63,34,1730355707,
630,38,50,34,1730355717,
640,34,61,35,1730355727,
650,38,70,36,1730355737,
660,39,67,36,1730355747,
670,36,62,36,1730355757,
680,42,63,33,1730355767,
690,51,73,34,1730355777,
700,55,67,38,1730355787,
710,46,66,47,1730355797,
720,51,41,37,1730355807,
730,60,31,34,1730355817,
740,46,58,34,1730355827,
750,53,71,33,1730355837,
760,58,71,33,1730355847,
770,51,71,35,1730355857,
780,51,71,36,1730355867,
790,43,67,37,1730355877,
800,47,67,36,1730355887,
810,53,68,37,1730355897,
820,70,74,33,1730355907,
830,64,76,38,1730355917,
840,55,64,40,1730355927,
850,56,68,38,1730355937,
860,68,71,37,1730355947,
870,59,68,38,1730355957,
880,58,67,40,1730355967,
890,65,79,46,1730355977,